"Radler"	"3,5"
"Bier Tannenzäpfle"	"3,5"
"Alkoholfreies Bier "	"3,5"
"Hefe Weizen"	"4,5"
"Bier Köstritzer"	"3,5"
"Bier Berliner Berg"	"4,5"
"Rotwein"	"5"
"Weisswein"	"5"
"Wein Schorle"	"4"
"Cidre"	"4"
"Prosecco 10cl"	"4"
"Shots 2cl"	"2,5"
"Becherovka etc"	"3"
"Cognac/Whiskey 2cl"	"3,5"
"Aperol Spritz"	"7"
"Moscow Mule"	"7"
"Whisky-Cola"	"7"
"Gin-Tonic"	"7"
"Cuba-Libre"	"7"
"PANDA-Special"	"7"
"Saft"	"3,5"
"Fritz Cola"	"3,5"
"Fritz Limo"	"3,5"
"Apfelschorle"	"3,5"
"Bionade"	"3,5"
"Club Mate"	"3,5"
"Tonic/Ginger Ale"	"2,5"
"Wasser Gas/Still"	"2,5"
"Tee"	"2"
"Kaffe"	"2"
"Konfekt"	"1"
"Erdnüsse"	"3"
