"Radler"	"3,5"	"2"	"1"	"mustard"
"Bier Tannenzäpfle"	"3,5"	"2"	"1"	"mustard"
"Alkoholfreies Bier "	"3,5"	"2"	"1"	"mustard"
"Hefe Weizen"	"4,5"	"2"	"1"	"mustard"
"Bier Köstritzer"	"3,5"	"2"	"1"	"mustard"
"Bier Berliner Berg"	"4,5"	"2"	"1"	"mustard"
"Rotwein"	"5"	"2"	"1"	"champagne"
"Weisswein"	"5"	"2"	"1"	"champagne"
"Wein Schorle"	"4"	"2"	"1"	"champagne"
"Prosecco 10cl"	"4"	"2"	"1"	"champagne"
"Cidre"	"4"	"2"	"1"	"champagne"
"Shots 2cl"	"2,5"	"2"	"1"	"brown"
"Becherovka etc"	"3"	"2"	"1"	"brown"
"Whiskey 2cl"	"3,5"	"2"	"1"	"brown"
"Cognac 2cl"	"3,5"	"2"	"1"	"brown"
"Aperol Spritz"	"7"	"2"	"1"	"lime"
"Moscow Mule"	"7"	"2"	"1"	"lime"
"Whisky-Cola"	"7"	"2"	"1"	"lime"
"Gin-Tonic"	"7"	"2"	"1"	"lime"
"Cuba-Libre"	"7"	"2"	"1"	"lime"
"PANDA-Special"	"7"	"2"	"1"	"lime"
"Saft"	"3,5"	"2"	"1"	"white"
"Fritz Cola"	"3,5"	"2"	"1"	"white"
"Fritz Limo"	"3,5"	"2"	"1"	"white"
"Apfelschorle"	"3,5"	"2"	"1"	"white"
"Bionade"	"3,5"	"2"	"1"	"white"
"Club Mate"	"3,5"	"2"	"1"	"white"
"Tonic Ale"	"2,5"	"2"	"1"	"white"
"Ginger Ale"	"2,5"	"2"	"1"	"white"
"Wasser Still"	"2,5"	"2"	"1"	"white"
"Wasser Gas"	"2,5"	"2"	"1"	"white"
"Tee"	"2"	"2"	"1"	"orange"
"Kaffe"	"2"	"2"	"1"	"orange"
"Konfekt"	"1"	"2"	"1"	"blue"
"Erdnüss"	"3"	"2"	"1"	"blue"
